id,symbol,name
wrapped-hype,WHYPE,Wrapped HYPE
binance-peg-dogecoin,DOGE,Binance-Peg Dogecoin
sbtc-2,SBTC,sBTC
coinbase-wrapped-staked-eth,CBETH,Coinbase Wrapped Staked ETH
just,JST,JUST
jasmycoin,JASMY,JasmyCoin
flow,FLOW,Flow
theta-token,THETA,Theta Network
bitcoin-avalanche-bridged-btc-b,BTC.B,Avalanche Bridged BTC (Avalanche)
gala,GALA,GALA
dogwifcoin,WIF,dogwifhat
benqi-liquid-staked-avax,SAVAX,BENQI Liquid Staked AVAX
olympus,OHM,Olympus
gnosis,GNO,Gnosis
zebec-network,ZBCN,Zebec Network
syrup,SYRUP,Maple Finance
merlin-chain,MERL,Merlin Chain
vaulta,A,Vaulta
decentraland,MANA,Decentraland
euro-coin,EURC,EURC
mimblewimblecoin,MWC,MimbleWimbleCoin
usx,USX,USX
kinesis-gold,KAU,Kinesis Gold
fartcoin,FARTCOIN,Fartcoin
arbitrum-bridged-wrapped-eeth,WEETH,Arbitrum Bridged Wrapped eETH (Arbitrum)
basic-attention-token,BAT,Basic Attention
binance-peg-busd,BUSD,Binance-Peg BUSD
polygon-pos-bridged-weth-polygon-pos,WETH,Polygon PoS Bridged WETH (Polygon POS)
falcon-finance-ff,FF,Falcon Finance
neo,NEO,NEO
raydium,RAY,Raydium
lorenzo-wrapped-bitcoin,ENZOBTC,Lorenzo Wrapped Bitcoin
janus-henderson-anemoy-treasury-fund,JTRSY,Janus Henderson Anemoy Treasury Fund
ape-and-pepe,APEPE,Ape and Pepe
ultima,ULTIMA,Ultima
chiliz,CHZ,Chiliz
frax-ether,FRXETH,Frax Ether
mantle-restaked-eth,CMETH,Mantle Restaked ETH
compound-governance-token,COMP,Compound
unit-bitcoin,UBTC,Unit Bitcoin
frax,FRAX,Legacy Frax Dollar
zksync,ZK,ZKsync
arweave,AR,Arweave
ethena-staked-ena,SENA,Ethena Staked ENA
1inch,1INCH,1INCH
swissborg,BORG,SwissBorg
astherus-staked-bnb,ASBNB,Aster Staked BNB
vision-3,VSN,Vision
layerzero,ZRO,LayerZero
eigenlayer,EIGEN,EigenCloud (prev. EigenLayer)
immutable-x,IMX,Immutable
undeads-games,UDS,Undeads Games
zero-gravity,0G,0G
origintrail,TRAC,OriginTrail
apecoin,APE,ApeCoin
cap-usd,CUSD,Cap USD
instadapp,FLUID,Fluid
aethir,ATH,Aethir
savings-dai,SDAI,Savings Dai
wrapped-ether-mantle-bridge,WETH,Mantle Bridged WETH (Mantle)
ecash,XEC,eCash
ibc-bridged-usdc,USDC.N,Noble USDC
fidelity-digital-interest-token,FDIT,Fidelity Digital Interest Token
reallink,REAL,RealLink
walrus-2,WAL,Walrus
